System,Chains,Sweeps,Accuracy
JAGS,1,1,0.312
JAGS,2,1,0.336
JAGS,3,1,0.412
JAGS,4,1,0.352
JAGS,5,1,0.308
JAGS,6,1,0.36
JAGS,7,1,0.336
JAGS,8,1,0.356
JAGS,9,1,0.34
JAGS,10,1,0.368
JAGS,11,1,0.36
JAGS,12,1,0.364
JAGS,13,1,0.372
JAGS,14,1,0.308
JAGS,15,1,0.36
JAGS,16,1,0.36
JAGS,17,1,0.34
JAGS,18,1,0.364
JAGS,19,1,0.344
JAGS,20,1,0.432
JAGS,21,1,0.344
JAGS,22,1,0.356
JAGS,23,1,0.408
JAGS,24,1,0.344
JAGS,25,1,0.38
JAGS,26,1,0.348
JAGS,27,1,0.404
JAGS,28,1,0.344
JAGS,29,1,0.34
JAGS,30,1,0.356
JAGS,31,1,0.36
JAGS,32,1,0.344
JAGS,33,1,0.344
JAGS,34,1,0.38
JAGS,35,1,0.316
JAGS,36,1,0.376
JAGS,37,1,0.356
JAGS,38,1,0.34
JAGS,39,1,0.368
JAGS,40,1,0.412
JAGS,1,2,0.452
JAGS,2,2,0.548
JAGS,3,2,0.696
JAGS,4,2,0.492
JAGS,5,2,0.616
JAGS,6,2,0.7
JAGS,7,2,0.484
JAGS,8,2,0.48
JAGS,9,2,0.436
JAGS,10,2,0.664
JAGS,11,2,0.64
JAGS,12,2,0.68
JAGS,13,2,0.688
JAGS,14,2,0.468
JAGS,15,2,0.596
JAGS,16,2,0.532
JAGS,17,2,0.648
JAGS,18,2,0.452
JAGS,19,2,0.58
JAGS,20,2,0.676
JAGS,21,2,0.716
JAGS,22,2,0.5
JAGS,23,2,0.572
JAGS,24,2,0.54
JAGS,25,2,0.476
JAGS,26,2,0.476
JAGS,27,2,0.596
JAGS,28,2,0.588
JAGS,29,2,0.428
JAGS,30,2,0.588
JAGS,31,2,0.652
JAGS,32,2,0.512
JAGS,33,2,0.616
JAGS,34,2,0.656
JAGS,35,2,0.436
JAGS,36,2,0.7
JAGS,37,2,0.4
JAGS,38,2,0.5
JAGS,39,2,0.572
JAGS,40,2,0.688
JAGS,1,3,0.544
JAGS,2,3,0.78
JAGS,3,3,0.968
JAGS,4,3,0.692
JAGS,5,3,0.848
JAGS,6,3,0.916
JAGS,7,3,0.588
JAGS,8,3,0.612
JAGS,9,3,0.524
JAGS,10,3,0.936
JAGS,11,3,0.936
JAGS,12,3,0.892
JAGS,13,3,0.96
JAGS,14,3,0.596
JAGS,15,3,0.82
JAGS,16,3,0.756
JAGS,17,3,0.904
JAGS,18,3,0.588
JAGS,19,3,0.78
JAGS,20,3,0.876
JAGS,21,3,0.932
JAGS,22,3,0.584
JAGS,23,3,0.756
JAGS,24,3,0.692
JAGS,25,3,0.544
JAGS,26,3,0.676
JAGS,27,3,0.872
JAGS,28,3,0.856
JAGS,29,3,0.544
JAGS,30,3,0.864
JAGS,31,3,0.884
JAGS,32,3,0.736
JAGS,33,3,0.86
JAGS,34,3,0.904
JAGS,35,3,0.504
JAGS,36,3,0.92
JAGS,37,3,0.416
JAGS,38,3,0.704
JAGS,39,3,0.752
JAGS,40,3,0.928
JAGS,1,4,0.604
JAGS,2,4,0.96
JAGS,3,4,1
JAGS,4,4,0.928
JAGS,5,4,0.984
JAGS,6,4,0.996
JAGS,7,4,0.772
JAGS,8,4,0.8
JAGS,9,4,0.596
JAGS,10,4,1
JAGS,11,4,1
JAGS,12,4,0.996
JAGS,13,4,1
JAGS,14,4,0.74
JAGS,15,4,0.976
JAGS,16,4,0.952
JAGS,17,4,0.996
JAGS,18,4,0.724
JAGS,19,4,0.964
JAGS,20,4,0.992
JAGS,21,4,1
JAGS,22,4,0.716
JAGS,23,4,0.964
JAGS,24,4,0.908
JAGS,25,4,0.62
JAGS,26,4,0.872
JAGS,27,4,0.996
JAGS,28,4,0.992
JAGS,29,4,0.668
JAGS,30,4,0.996
JAGS,31,4,0.992
JAGS,32,4,0.936
JAGS,33,4,0.988
JAGS,34,4,1
JAGS,35,4,0.552
JAGS,36,4,0.996
JAGS,37,4,0.4
JAGS,38,4,0.888
JAGS,39,4,0.944
JAGS,40,4,1
JAGS,1,5,0.816
JAGS,2,5,1
JAGS,3,5,1
JAGS,4,5,1
JAGS,5,5,1
JAGS,6,5,1
JAGS,7,5,0.96
JAGS,8,5,0.976
JAGS,9,5,0.792
JAGS,10,5,1
JAGS,11,5,1
JAGS,12,5,1
JAGS,13,5,1
JAGS,14,5,0.948
JAGS,15,5,1
JAGS,16,5,1
JAGS,17,5,1
JAGS,18,5,0.9
JAGS,19,5,1
JAGS,20,5,1
JAGS,21,5,1
JAGS,22,5,0.924
JAGS,23,5,1
JAGS,24,5,1
JAGS,25,5,0.78
JAGS,26,5,0.996
JAGS,27,5,1
JAGS,28,5,1
JAGS,29,5,0.844
JAGS,30,5,1
JAGS,31,5,1
JAGS,32,5,1
JAGS,33,5,1
JAGS,34,5,1
JAGS,35,5,0.66
JAGS,36,5,1
JAGS,37,5,0.436
JAGS,38,5,0.996
JAGS,39,5,1
JAGS,40,5,1
JAGS,1,6,0.968
JAGS,2,6,1
JAGS,3,6,1
JAGS,4,6,1
JAGS,5,6,1
JAGS,6,6,1
JAGS,7,6,1
JAGS,8,6,1
JAGS,9,6,0.972
JAGS,10,6,1
JAGS,11,6,1
JAGS,12,6,1
JAGS,13,6,1
JAGS,14,6,1
JAGS,15,6,1
JAGS,16,6,1
JAGS,17,6,1
JAGS,18,6,0.996
JAGS,19,6,1
JAGS,20,6,1
JAGS,21,6,1
JAGS,22,6,1
JAGS,23,6,1
JAGS,24,6,1
JAGS,25,6,0.96
JAGS,26,6,1
JAGS,27,6,1
JAGS,28,6,1
JAGS,29,6,0.984
JAGS,30,6,1
JAGS,31,6,1
JAGS,32,6,1
JAGS,33,6,1
JAGS,34,6,1
JAGS,35,6,0.896
JAGS,36,6,1
JAGS,37,6,0.448
JAGS,38,6,1
JAGS,39,6,1
JAGS,40,6,1
JAGS,1,7,1
JAGS,2,7,1
JAGS,3,7,1
JAGS,4,7,1
JAGS,5,7,1
JAGS,6,7,1
JAGS,7,7,1
JAGS,8,7,1
JAGS,9,7,1
JAGS,10,7,1
JAGS,11,7,1
JAGS,12,7,1
JAGS,13,7,1
JAGS,14,7,1
JAGS,15,7,1
JAGS,16,7,1
JAGS,17,7,1
JAGS,18,7,1
JAGS,19,7,1
JAGS,20,7,1
JAGS,21,7,1
JAGS,22,7,1
JAGS,23,7,1
